19:16:57,640 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
19:16:57,640 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [ERROR_FILE]
19:16:57,641 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@1288141870 - Archive files will be limited to [100 MB] each.
19:16:57,641 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@1288141870 - No compression will be used
19:16:57,642 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@1288141870 - Will use the pattern c:/dev/log4jlogs/micro-account-service-error-%d{yyyyMMdd}.log.%i for the active file
19:16:57,642 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@7a7b0070 - The date pattern is 'yyyyMMdd' from file name pattern 'c:/dev/log4jlogs/micro-account-service-error-%d{yyyyMMdd}.log.%i'.
19:16:57,642 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@7a7b0070 - Roll-over at midnight.
19:16:57,642 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@7a7b0070 - Setting initial period to Wed Apr 10 19:16:55 CST 2019
19:16:57,643 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
19:16:57,644 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[ERROR_FILE] - Active log file name: c:/dev/log4jlogs/micro-account-service-error.log
19:16:57,644 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[ERROR_FILE] - File property is set to [c:/dev/log4jlogs/micro-account-service-error.log]
19:16:57,644 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
19:16:57,644 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [STDOUT]
19:16:57,644 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
19:16:57,645 |-INFO in ch.qos.logback.core.joran.action.StatusListenerAction - Added status listener of type [ch.qos.logback.core.status.OnConsoleStatusListener]
